Data Provided By MyFoodData.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Click ""File"" then ""Download as"" or ""Select All and Copy Paste"" to get the data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you have a google account click ""File"" then ""Make a Copy"" to edit your own copy of the data. All serving sizes are 100 grams.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,name,Food Group,Calories,Fat (g),Protein (g),Carbohydrate (g),Sugars (g),Fiber (g),Cholesterol (mg),Saturated Fats (g),Calcium (mg),"Iron, Fe (mg)","Potassium, K (mg)",Magnesium (mg),"Vitamin A, IU (IU)","Vitamin A, RAE (mcg)",Vitamin C (mg),Vitamin B-12 (mcg),Vitamin D (mcg),Vitamin E (Alpha-Tocopherol) (mg),Added Sugar (g),Net-Carbs (g),Water (g),Omega 3s (mg),Omega 6s (mg),PRAL score,Trans Fatty Acids (g),Soluble Fiber (g),Insoluble Fiber (g),Sucrose (g),Glucose (Dextrose) (g),Fructose (g),Lactose (g),Maltose (g),Galactose (g),Starch (g),Total sugar alcohols (g),"Phosphorus, P (mg)",Sodium (mg),"Zinc, Zn (mg)","Copper, Cu (mg)",Manganese (mg),"Selenium, Se (mcg)","Fluoride, F (mcg)",Molybdenum (mcg),Chlorine (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Pantothenic acid (B5) (mg),Vitamin B6 (mg),Biotin (B7) (mcg),Folate (B9) (mcg),Folic acid (mcg),Food Folate (mcg),Folate DFE (mcg),Choline (mg),Betaine (mg),Retinol (mcg),"Carotene, beta (mcg)","Carotene, alpha (mcg)",Lycopene (mcg),Lutein + Zeaxanthin (mcg),Vitamin D2 (ergocalciferol) (mcg),Vitamin D3 (cholecalciferol) (mcg),Vitamin D (IU) (IU),Vitamin K (mcg),Dihydrophylloquinone (mcg),Menaquinone-4 (mcg),"Fatty acids, total monounsaturated (mg)","Fatty acids, total polyunsaturated (mg)","18:3 n-3 c,c,c (ALA) (mg)",20:5 n-3 (EPA) (mg),22:5 n-3 (DPA) (mg),22:6 n-3 (DHA) (mg),Tryptophan (mg),Threonine (mg),Isoleucine (mg),Leucine (mg),Lysine (mg),Methionine (mg),Cystine (mg),Phenylalanine (mg),Tyrosine (mg),Valine (mg),Arginine (mg),Histidine (mg),Alanine (mg),Aspartic acid (mg),Glutamic acid (mg),Glycine (mg),Proline (mg),Serine (mg),Hydroxyproline (mg),Alcohol (g),Caffeine (mg),Theobromine (mg),Serving Weight 1 (g),Serving Description 1 (g),Serving Weight 2 (g),Serving Description 2 (g),Serving Weight 3 (g),Serving Description 3 (g),Serving Weight 4 (g),Serving Description 4 (g),Serving Weight 5 (g),Serving Description 5 (g),Serving Weight 6 (g),Serving Description 6 (g),Serving Weight 7 (g),Serving Description 7 (g),Serving Weight 8 (g),Serving Description 8 (g),Serving Weight 9 (g),Serving Description 9 (g),200 Calorie Weight (g)
167631,Corn Dried (Navajo),American Indian,386,5.22,9.88,74.93,5.38,NULL,NULL,0.82,15,1.92,511,124,NULL,NULL,0,NULL,NULL,0,NULL,74.93,8.1,69,1831,3.072,NULL,NULL,NULL,3.38,1,0.99,0,0,0,48.18,NULL,337,13,3.05,0.195,0.848,NULL,NULL,NULL,NULL,0.2,0.068,3.3,0.38,0.372,NULL,77,NULL,77,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.9,0,NULL,1483,1900,69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,51.813
167632,Squash Indian Cooked Boiled (Navajo),American Indian,16,0.15,0.31,3.22,2.02,1.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1.72,96.21,NULL,NULL,NULL,NULL,NULL,NULL,0.44,0.69,0.89,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.01,0.015,0.102,0.06,0.033,NULL,7,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28.4,1 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,1250
167633,Bread Kneel Down (Navajo),American Indian,195,2.21,4.29,39.47,3.74,NULL,NULL,0.353,5,1.11,320,55,NULL,NULL,NULL,NULL,NULL,0,NULL,39.47,52.96,31,816,-0.093,NULL,NULL,NULL,2.22,0.82,0.7,0,0,0,28.25,NULL,164,126,1.46,0.095,0.303,11.9,NULL,NULL,NULL,0.12,0.132,2.49,0.354,NULL,NULL,98,NULL,98,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.3,0.5,NULL,603,847,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28.4,1 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,102.564
167634,Mutton Cooked Roasted (Navajo),American Indian,234,11.09,33.43,0.08,NULL,NULL,109,5.142,10,4.76,409,31,NULL,NULL,NULL,4.44,NULL,0.8,NULL,0.08,54,147,421,16.87,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,272,135,5.93,0.062,0.033,38,NULL,NULL,NULL,0.06,0.3,6.52,0.897,0.377,NULL,0,NULL,0,NULL,100.6,33.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,4459,814,147,NULL,NULL,NULL,257,1403,1588,2764,2999,918,348,1399,1162,1678,2178,975,1964,3122,5167,1651,1411,1332,244,NULL,NULL,NULL,28.4,1 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,85.47
167635,Frybread Made With Lard (Navajo),American Indian,330,12.22,6.69,48.26,2.03,NULL,7,4.621,57,4.04,77,18,NULL,NULL,NULL,0,NULL,0,NULL,48.26,31.57,51,1000,4.99,NULL,NULL,NULL,0.17,0.1,0,0,1.76,0,42.85,NULL,123,329,0.35,0.091,0.297,18.6,NULL,NULL,NULL,0.43,0.217,4.603,0.164,0.038,NULL,122,105,17,196,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8,0.8,NULL,4411,1055,51,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,152,1 piece,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,60.606
167636,Tamales (Navajo),American Indian,153,6.12,6.28,18.12,0.99,3.1,17,2.396,29,1.22,131,22,0,0,1.7,0.54,NULL,0,NULL,15.02,68.1,29,646,3.021,NULL,NULL,NULL,0.4,0.21,0.17,0,0.22,0,12.27,NULL,99,427,1.48,0.063,0.174,6,NULL,NULL,NULL,0.05,0.08,1.59,0.205,0.143,NULL,15,NULL,15,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2739,688,29,NULL,NULL,NULL,52,239,271,568,427,150,83,275,204,318,391,196,422,556,1029,384,382,273,NULL,NULL,NULL,NULL,186,1 piece,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,130.719
167637,Stew Steamed Corn (Navajo),American Indian,112,3.75,8.82,10.8,0.51,2.3,NULL,1.603,22,1.1,177,24,NULL,NULL,0,NULL,NULL,0,NULL,8.5,76.03,45,279,3.629,NULL,NULL,NULL,0.34,0.09,0.07,0,0,0,6.55,NULL,107,104,1.55,0.075,0.102,5,NULL,NULL,NULL,0.03,0.11,3.02,0.4,0.12,NULL,9,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7,0,NULL,1497,392,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,178.571
167638,Fish Halibut Raw With Skin (Alaska Native),American Indian,116,2.92,20.53,1.81,0,0,72,0.726,20,0.27,449,26,157,47,0,1.78,NULL,1.9,NULL,1.81,73.44,681,28,8.67,NULL,NULL,NULL,0,0,0,0,0,0,0,NULL,244,79,0.61,0.042,0.011,51.1,NULL,NULL,NULL,0.066,0.072,5.762,0.377,0.39,NULL,15,0,15,15,NULL,NULL,47,0,0,0,0,NULL,NULL,NULL,0,0,0.1,1195,912,12,217,59,393,311,954,943,1598,1820,799,355,821,699,1032,1210,499,1187,2796,3174,932,732,910,183,0,0,0,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,172.414
167639,Fish Salmon Coho (Silver) Raw (Alaska Native),American Indian,140,5.57,22.56,0,0,0,58,0.904,5,0.55,380,28,100,30,0,8.52,NULL,0.81,NULL,0,69.38,2232,781,11.115,NULL,NULL,NULL,0,0,0,0,0,0,0,NULL,240,58,0.41,0.051,NULL,27.6,NULL,NULL,NULL,0.152,0.189,7.93,1.23,0.225,NULL,13,0,13,13,NULL,NULL,30,0,0,0,0,NULL,NULL,NULL,0.2,0,NULL,1790,2410,89,491,178,1385,330,970,900,1610,1810,710,250,910,720,1030,1140,490,1290,2650,3100,970,780,840,NULL,0,0,0,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,142.857
167640,Blueberries Wild Raw (Alaska Native),American Indian,61,0.76,1.22,12.31,6.46,2.6,NULL,NULL,13,0.37,75,7,115,6,18.3,0,0,1.69,NULL,9.71,85.48,NULL,NULL,-0.265,NULL,NULL,NULL,0.01,3.1,3.35,0,0,0,0,NULL,29,6,0.2,0.03,2,NULL,NULL,NULL,NULL,0.067,0.414,0.597,0.265,0.026,NULL,33,0,33,33,NULL,NULL,0,69,0,0,NULL,NULL,NULL,0,17.2,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,327.869
167641,Oil Spotted Seal (Alaska Native),American Indian,894,99.32,0,0,0,0,NULL,14.74,0,0,0,0,3480,1044,0,0,0.7,6.28,NULL,0,0.25,14860,1310,0,NULL,NULL,NULL,0,0,0,0,0,0,0,NULL,0,0,0,0,0,2.2,NULL,NULL,NULL,0,0,0,0,0,NULL,0,0,0,0,NULL,NULL,1044,0,0,0,0,NULL,NULL,30,0,0,2.1,54520,18060,NULL,3930,3440,6520,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,22.371
167642,Fish Salmon Red Canned Bones Removed (Alaska Native),American Indian,161,5.76,27.31,0,0,0,69,0.92,28,1.9,370,32,216,65,0,4.91,NULL,0.61,NULL,0,65.82,1310,100,13.989,NULL,NULL,NULL,0,0,0,0,0,0,0,NULL,260,390,0.66,0.148,0.037,40.3,NULL,NULL,NULL,0.015,0.206,10.1,0.725,0.103,NULL,7,0,7,7,82,3.3,65,0,0,0,0,NULL,NULL,NULL,0,0,0,2290,1610,NULL,330,110,750,350,1250,1220,2040,2310,750,200,1140,940,1450,1640,690,1690,2680,3640,1430,1220,1040,NULL,0,0,0,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,124.224
167643,Fish Whitefish Eggs (Alaska Native),American Indian,104,2.88,14.66,4.89,0,0,439,0.496,46,5.95,190,30,305,91,12,56.4,NULL,2.68,NULL,4.89,76.24,725,119,13.109,NULL,NULL,NULL,0,0,0,0,0,0,0,NULL,306,160,2.1,0.22,0.22,92.8,NULL,NULL,NULL,0.088,0.403,0.956,1.06,0.159,NULL,53,0,53,53,247.5,8.2,91,0,0,0,0,NULL,NULL,NULL,0.6,0,0.6,1046,1073,NULL,225,133,330,280,1010,1070,1640,1600,560,230,900,760,1280,1060,530,1640,1580,2180,500,1100,1180,NULL,0,0,0,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,192.308
167644,Caribou Rump Meat Half Dried (Alaska Native),American Indian,255,5.23,52.06,0,0,0,141,1.55,14,11,710,60,173,52,0,7.16,NULL,0.09,NULL,0,38.04,80,350,26.528,NULL,NULL,NULL,0,0,0,0,0,0,0,NULL,480,390,9.4,0.6,0.099,30.5,NULL,NULL,NULL,0.333,1.24,13.2,2.94,0.62,NULL,3,0,3,3,202.7,29.3,52,0,0,0,0,NULL,NULL,NULL,1.1,0,0.6,1190,630,NULL,20,40,20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,78.431
167645,Fish Salmon Red (Sockeye) Canned Smoked (Alaska Native),American Indian,206,7.26,35.19,0,0,0,93,1.48,69,1.5,470,39,63,19,0,7.43,NULL,0.45,NULL,0,56.49,1840,120,18.353,NULL,NULL,NULL,0,0,0,0,0,0,0,NULL,350,600,1.1,0.148,0.051,44.8,NULL,NULL,NULL,0.021,0.358,13.1,0.656,0.182,NULL,4,0,4,4,106.9,5,19,0,0,0,0,NULL,NULL,NULL,0,0,0.5,2290,2210,NULL,600,170,970,350,1530,1450,2510,2740,910,250,1390,1150,1720,2010,820,2110,3260,4510,1870,1700,1320,NULL,0,0,0,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,97.087
167646,Fish Salmon Red (Sockeye) Kippered (Alaska Native),American Indian,141,4.75,24.5,0,0,0,68,0.8,54,0.49,400,31,50,15,0,4.98,2,0.44,NULL,0,69.41,930,70,12.408,NULL,NULL,NULL,0,0,0,0,0,0,0,NULL,280,460,0.75,0.148,0.037,33.5,NULL,NULL,NULL,0.094,0.23,8.52,0.917,0.287,NULL,6,0,6,6,88.2,4.2,14,0,0,0,0,NULL,NULL,80,0,0,0,1830,1130,NULL,260,70,540,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,NULL,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,141.844
167647,Fish Salmon King With Skin Kippered (Alaska Native),American Indian,209,12.95,23.19,0,0,0,67,2.44,55,0.55,390,29,41,12,0,3.65,1.2,0.42,NULL,0,61.52,1520,210,11.646,NULL,NULL,NULL,0,0,0,0,0,0,0,NULL,270,870,0.77,0.148,0.037,30.5,NULL,NULL,NULL,0.043,0.201,8.61,0.822,0.378,NULL,3,0,3,3,98.9,3.6,NULL,0,0,0,0,NULL,NULL,46,0,0,1.8,5860,2090,NULL,460,110,790,256,1022,909,1656,1902,625,199,899,757,1117,1363,549,1476,2205,3048,1230,1079,909,NULL,0,0,0,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,95.694
167648,Fish Sheefish Raw (Alaska Native),American Indian,115,2.84,22.25,0,0,0,56,0.49,140,0.5,390,25,0,0,0,5.9,NULL,0.44,NULL,0,74.62,580,30,11.296,NULL,NULL,NULL,0,0,0,0,0,0,0,NULL,300,52,0.6,0.148,0.037,42.3,NULL,NULL,NULL,0.041,0.126,2.12,0.648,0.162,NULL,9,0,9,9,108.9,123.7,NULL,0,0,0,0,NULL,NULL,NULL,0,0,0,1080,700,NULL,170,80,320,210,940,860,1520,1820,630,200,850,680,1000,1310,520,1400,2070,2950,1500,1150,850,NULL,0,0,0,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,173.913
167649,Buffalo Free Range Top Round Steak Raw (Shoshone Bannock),American Indian,97,1.3,21.44,0,NULL,NULL,NULL,0.418,3,2.61,355,22,NULL,NULL,NULL,1.15,NULL,NULL,NULL,0,75.96,16,68,9.798,0.065,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,200,43,3,0.117,0.011,7,NULL,NULL,NULL,0.153,0.325,6.92,0.76,0.78,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,425,98,16,NULL,NULL,NULL,225,849,928,1710,1494,597,229,825,721,959,1272,704,1207,1872,3063,904,807,878,65,NULL,NULL,NULL,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,206.186
167650,Seal Bearded (Oogruk) Meat Partially Dried (Alaska Native),American Indian,270,2.31,62.38,0,0,NULL,NULL,NULL,9,33,960,62,0,0,0,NULL,NULL,0.07,NULL,0,34.92,NULL,NULL,27.433,NULL,NULL,NULL,0,0,0,0,0,0,0,NULL,510,130,5,0.31,0.037,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,103,26.3,NULL,0,0,0,0,NULL,NULL,NULL,0,1.6,0,NULL,NULL,NULL,NULL,NULL,NULL,601,2438,2367,4822,5052,1272,336,2473,1625,2438,3515,2226,3568,5193,8337,3285,2862,2261,NULL,0,0,NULL,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,74.074
167651,Buffalo Free Range Top Round Steak Cooked (Shoshone Bannock),American Indian,146,1.8,32.51,0,NULL,NULL,82,0.595,4,3.76,376,27,NULL,NULL,NULL,1.67,NULL,0.59,NULL,0,64.28,29,113,16.336,0.088,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,246,41,5.06,0.189,0.011,10.5,NULL,NULL,NULL,0.169,0.462,7.02,1.01,0.794,NULL,8,0,8,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,614,171,29,NULL,NULL,NULL,341,1287,1407,2593,2266,905,347,1251,1093,1454,1929,1068,1831,2839,4645,1371,1224,1332,NULL,NULL,NULL,NULL,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,136.986
167652,Elk Free Range Roast Eye Of Round Raw (Shoshone Bannock),American Indian,98,2.1,19.74,0,0,0,NULL,0.828,4,2.27,367,24,0,0,0,1.77,NULL,NULL,NULL,0,76.54,21,82,9.201,0.032,NULL,NULL,0,0,0,0,0,0,0,NULL,215,43,4.16,0.144,0.011,15.8,NULL,NULL,NULL,0.159,0.27,6.63,0.63,0.893,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,897,122,21,NULL,NULL,NULL,228,746,954,1760,1544,645,252,854,751,1530,1319,720,1234,1944,3234,909,819,1006,46,0,0,0,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,204.082
167653,Corn Dried Yellow (Northern Plains Indians),American Indian,419,10.64,14.48,66.27,21.32,20.5,NULL,1.974,25,2.61,775,149,261,13,0,0,0,0.44,NULL,45.77,6.36,124,4419,-0.773,NULL,NULL,NULL,20.08,0.69,0.55,0,0,0,24.99,NULL,344,4,3.06,0.293,0.9,56.5,NULL,NULL,NULL,0.261,0.181,8.25,1.59,1.11,NULL,111,NULL,111,NULL,NULL,NULL,0,117,18,0,NULL,NULL,NULL,0,NULL,NULL,NULL,3750,4543,124,NULL,NULL,NULL,94,431,485,1468,498,293,200,642,465,655,581,313,1156,1013,2358,539,1047,732,NULL,0,0,NULL,28.4,1 oz,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,47.733
167654,Smelt Dried (Alaska Native),American Indian,386,17.9,56.19,0,0,0,249,3.59,1600,5.4,1000,89,463,139,NULL,19.1,NULL,4.51,NULL,0,16.92,2400,217,35.092,NULL,NULL,NULL,0,0,0,0,0,0,0,NULL,1400,420,6.7,0.148,0.72,194,NULL,NULL,NULL,0.073,0.262,5.97,2.29,0.176,NULL,NULL,NULL,NULL,NULL,NULL,NULL,139,0,0,0,0,NULL,NULL,NULL,0,0,1.6,6860,2884,NULL,910,140,1220,510,2390,2150,3820,3690,1240,460,2010,1570,2660,3100,1010,3520,4810,6660,3280,2360,2450,NULL,0,0,0,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,51.813
167655,Frybread Made With Lard (Apache),American Indian,309,10.14,8.38,46.01,1.54,1.7,4,3.631,52,3.43,75,19,NULL,NULL,NULL,0,NULL,0.09,NULL,44.31,33.11,75,1231,5.492,NULL,NULL,NULL,0.22,0.09,0,0,1.22,0,43.29,NULL,112,671,0.47,0.096,0.405,6.5,NULL,NULL,NULL,0.531,0.264,4.335,NULL,0.068,NULL,112,93,19,177,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,3500,1306,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,64.725
167656,Corned Beef And Potatoes In Tortilla (Apache),American Indian,224,8.31,7.91,29.35,1.79,1.5,11,3.366,27,1.8,275,22,NULL,NULL,NULL,0.23,NULL,0.2,NULL,27.85,52.51,70,795,0.178,NULL,NULL,NULL,0.37,0.21,0.25,0,0.97,0,25.99,NULL,82,511,0.88,0.066,0.31,11.3,NULL,NULL,NULL,0.277,0.135,2.545,NULL,0.214,NULL,70,NULL,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3.1,1.8,1.8,3345,864,70,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,89.286
167657,On The Border Soft Taco With Ground Beef Cheese And Lettuce,Restaurant Foods,229,11.05,13.19,19.28,1.84,1.8,30,4.848,123,1.94,274,30,89,4,NULL,1.15,NULL,0.44,NULL,17.48,53.83,61,977,5.25,0.815,NULL,NULL,0,0.65,0.55,0.18,0.39,0.07,12.3,NULL,188,646,1.97,0.13,0.377,23,NULL,NULL,NULL,0.16,0.22,2.785,0.46,0.125,NULL,40,NULL,NULL,NULL,NULL,NULL,NULL,53,0,686,28,NULL,NULL,NULL,NULL,NULL,NULL,4464,1015,55,1,5,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,324,1 serving varied from 2-3 tacos per serving,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,87.336
167658,Restaurant Mexican Soft Taco With Ground Beef Cheese And Lettuce,Restaurant Foods,219,10.81,12.56,17.92,2.39,1.5,34,4.486,116,1.85,244,27,250,49,NULL,1.22,NULL,0.82,NULL,16.42,56.5,88,1137,5.152,0.616,NULL,NULL,0,0.79,0.66,0.39,0.45,0.1,12.34,NULL,172,509,2.15,0.099,0.269,19.3,NULL,NULL,NULL,0.162,0.248,2.63,0.465,0.136,NULL,38,NULL,NULL,NULL,NULL,NULL,44,61,0,696,44,NULL,NULL,NULL,NULL,NULL,NULL,4229,1203,80,2,6,0,125,475,504,1005,943,280,147,598,371,594,703,316,636,951,2282,668,1871,540,265,NULL,NULL,NULL,281,1 serving varied from 1 to 3 tacos per serving,134,1 taco,279,2 taco,389,3 taco,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,91.324
167659,Restaurant Latino Chicken And Rice Entree Prepared,Restaurant Foods,174,5.06,12.02,20.03,0.55,1.2,36,1.101,18,0.95,184,18,NULL,NULL,NULL,0.16,NULL,0.5,NULL,18.83,61.12,123,1415,5.814,0.06,NULL,NULL,0.13,0.21,0.21,0,0,0,17.76,NULL,122,518,0.78,0.076,0.304,14.5,NULL,NULL,NULL,0.104,0.056,5.558,0.962,0.176,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4,0.4,4.8,1799,1564,115,1,3,3,158,498,549,933,925,306,150,514,349,619,796,398,680,1109,1879,585,510,469,NULL,NULL,NULL,NULL,141,1 cup,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,114.943
167660,Restaurant Latino Empanadas Beef Prepared,Restaurant Foods,335,18.37,11.31,31.19,1.84,2,26,5.156,20,2.7,190,21,183,18,0.7,0.76,0.2,0.73,NULL,29.19,37.5,320,3958,4.532,0.826,NULL,NULL,0,0.4,0.38,0,1.06,0,26.13,NULL,103,440,1.86,0.097,0.267,24.8,NULL,NULL,NULL,0.277,0.19,4.663,0.49,0.148,NULL,45,34,11,69,30.3,NULL,10,73,0,417,174,NULL,NULL,7,6.1,5.7,2.6,7121,4268,301,2,8,2,118,413,461,895,614,207,157,496,306,511,577,309,578,820,2542,568,855,454,NULL,0,0,0,89,1 piece,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,59.701
167661,Restaurant Latino Pupusas Con Frijoles (Pupusas Bean),Restaurant Foods,229,9.01,5.59,31.49,1.3,5.8,NULL,2.188,51,1.46,305,54,NULL,NULL,NULL,NULL,NULL,0.36,NULL,25.69,52.16,340,2562,-0.452,0.057,NULL,NULL,0.76,0,0.22,0,0.32,0,23.58,NULL,144,305,0.94,0.141,0.344,7,NULL,NULL,NULL,0.077,0.03,0.867,0.303,0.172,NULL,NULL,NULL,NULL,NULL,39.6,0.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.4,NULL,0.8,2986,2907,329,3,3,1,55,212,219,525,293,100,77,290,138,258,293,164,290,543,969,209,300,309,NULL,NULL,NULL,NULL,126,1 piece,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,,NULL,NULL,NULL,NULL,87.336
